,lsoa,Names,Number of Burglary2012,Average time,Aged 65+Percentage,Working-age,Area (Hectares),Population Density Persons per hectare,% of households with no adults in employment: With dependent children,Median house income 2011/12,Average median house price(2010-2012)
2698,E01002763,Islington 007D,12,17.63,9.95,1170,9.9,149,4,40850.0,257500.0
2699,E01002764,Islington 010A,33,21.83,11.27,1272,13.3,135,8,40770.0,296492.0
2700,E01002765,Islington 015D,29,22.87,6.79,2044,17.1,159,12,35290.0,237750.0
2701,E01002766,Islington 015E,25,20.63,10.24,1302,13.7,132,10,36960.0,272983.0
2702,E01002767,Islington 011D,8,18.56,9.21,1570,11.9,174,8,39470.0,378167.0
2703,E01002768,Islington 004A,12,24.55,13.25,1139,10.4,154,5,38510.0,325758.0
2704,E01002769,Islington 008A,25,23.58,8.02,1735,21.5,102,3,32220.0,540000.0
2705,E01002770,Islington 004B,31,26.23,11.96,1184,21.0,76,6,45330.0,387000.0
2706,E01002771,Islington 004C,20,26.8,8.88,1086,12.0,124,7,46710.0,462667.0
2707,E01002772,Islington 002F,31,21.46,9.25,1415,10.4,180,6,53060.0,295500.0
2708,E01002773,Islington 004D,6,26.53,16.6,929,9.7,148,7,43770.0,231317.0
2709,E01002774,Islington 004E,20,19.72,8.96,1609,17.9,121,5,43610.0,339158.0
2710,E01002775,Islington 014D,14,24.32,6.62,1170,11.8,123,4,44160.0,433500.0
2711,E01002776,Islington 014E,19,19.47,8.5,1276,11.6,152,10,45850.0,372967.0
2712,E01002777,Islington 012A,22,15.07,9.42,1321,11.8,142,3,30790.0,404342.0
2713,E01002778,Islington 012B,12,15.88,8.34,1178,10.5,170,17,37780.0,235333.0
2714,E01002779,Islington 012C,37,16.61,5.87,1507,11.1,174,5,36750.0,336083.0
2715,E01002780,Islington 014F,14,18.36,7.13,1283,7.9,213,7,35990.0,412667.0
2716,E01002781,Islington 012D,12,20.69,8.24,1009,9.1,150,10,40140.0,321817.0
2717,E01002782,Islington 012E,21,12.61,7.96,1030,8.8,174,17,33530.0,314500.0
2718,E01002783,Islington 010B,23,19.7,11.07,1127,9.8,154,9,32660.0,294567.0
2719,E01002784,Islington 010C,14,20.71,10.41,1277,12.9,140,10,39600.0,324333.0
2720,E01002785,Islington 008B,48,14.24,11.49,1311,14.2,135,6,46820.0,392667.0
2721,E01002786,Islington 010D,9,13.59,7.94,1347,10.9,167,7,31660.0,283667.0
2722,E01002787,Islington 010E,10,20.49,6.14,1341,11.1,150,7,47130.0,265000.0
2723,E01002788,Islington 008C,25,20.02,7.35,1490,12.3,153,3,49170.0,380167.0
2724,E01002789,Islington 008D,21,22.32,11.21,1377,13.4,139,3,58480.0,447167.0
2725,E01002790,Islington 016D,11,17.73,13.46,1035,7.9,186,8,34850.0,503284.0
2726,E01002791,Islington 016E,18,20.23,12.36,1213,14.3,112,4,34130.0,656063.0
2727,E01002792,Islington 017E,24,13.83,7.92,1469,10.5,181,4,34220.0,540000.0
2728,E01002793,Islington 016F,20,16.24,9.1,1512,10.7,184,7,38650.0,380000.0
2729,E01002794,Islington 020B,33,9.12,9.24,1459,18.1,103,3,36490.0,566667.0
2730,E01002795,Islington 013D,18,23.26,6.4,1579,17.6,114,6,40450.0,505300.0
2731,E01002796,Islington 013E,6,21.73,11.0,852,7.8,141,4,33980.0,852000.0
2732,E01002797,Islington 018B,14,19.36,9.38,1447,10.9,174,7,32750.0,339000.0
2733,E01002798,Islington 018C,16,15.83,9.5,1548,13.8,147,4,33550.0,648708.0
2734,E01002799,Islington 018D,10,16.44,11.64,1330,8.5,224,11,40160.0,340700.0
2735,E01002800,Islington 018E,3,13.44,11.36,652,8.1,120,16,35920.0,582583.0
2736,E01002801,Islington 020C,23,10.54,10.33,1241,10.7,147,3,29990.0,633448.0
2737,E01002802,Islington 020D,23,11.77,9.82,1151,11.0,136,3,48500.0,718333.0
2738,E01002803,Islington 020E,23,10.28,7.77,1754,18.0,124,4,29870.0,540333.0
2739,E01002804,Islington 001D,10,17.92,7.81,1239,11.0,156,10,35650.0,380833.0
2740,E01002805,Islington 003B,38,19.4,7.59,1273,12.8,122,4,42250.0,293000.0
2741,E01002806,Islington 003C,20,18.27,9.02,1232,11.2,147,5,45360.0,389417.0
2742,E01002807,Islington 001E,16,16.93,7.91,1347,9.2,195,8,45160.0,248075.0
2743,E01002808,Islington 003D,16,14.11,8.47,1460,13.1,147,7,34050.0,317325.0
2744,E01002809,Islington 003E,16,17.4,6.4,1229,8.9,183,7,40600.0,357333.0
2745,E01002810,Islington 003F,18,16.03,8.8,1138,8.3,194,7,35570.0,325417.0
2746,E01002811,Islington 001F,18,22.71,10.59,1037,10.2,155,10,37190.0,323729.0
2747,E01002812,Kensington and Chelsea 013A,13,10.89,11.08,1361,9.1,204,3,47450.0,1005833.0
2748,E01002813,Kensington and Chelsea 011A,9,7.06,14.16,1137,11.1,152,2,37270.0,1565000.0
2749,E01002814,Kensington and Chelsea 015A,12,9.89,10.03,1394,14.6,131,7,41330.0,627333.0
2750,E01002815,Kensington and Chelsea 011B,10,7.49,11.52,1008,6.4,210,4,42540.0,584983.0
2751,E01002816,Kensington and Chelsea 011C,8,8.95,15.45,911,5.9,217,1,38220.0,1770833.0
2752,E01002817,Kensington and Chelsea 011D,27,6.45,17.77,1009,15.7,98,4,43530.0,1287500.0
2753,E01002818,Kensington and Chelsea 012A,45,18.38,13.21,1517,18.9,106,1,37010.0,1285178.0
2754,E01002819,Kensington and Chelsea 012B,28,19.55,13.99,1161,21.4,73,1,37460.0,1205000.0
2755,E01002820,Kensington and Chelsea 016A,25,20.15,8.69,933,16.9,73,1,30650.0,867500.0
2756,E01002821,Kensington and Chelsea 014A,34,19.92,12.82,1019,19.1,75,2,41730.0,998000.0
2757,E01002822,Kensington and Chelsea 016B,18,20.4,15.07,819,11.1,111,1,27950.0,1604333.0
2758,E01002823,Kensington and Chelsea 014B,6,19.33,17.24,940,8.0,176,4,36210.0,1200000.0
2759,E01002824,Kensington and Chelsea 008A,12,12.98,12.18,1001,15.1,95,1,29470.0,1011167.0
2760,E01002825,Kensington and Chelsea 008B,7,8.08,15.6,1242,19.2,100,3,30130.0,1176500.0
2761,E01002826,Kensington and Chelsea 008C,17,14.97,13.65,1112,22.0,70,2,45100.0,669863.0
2762,E01002827,Kensington and Chelsea 008D,23,10.71,12.03,1242,25.3,69,1,48980.0,1295000.0
2763,E01002828,Kensington and Chelsea 008E,28,3.08,15.19,946,9.6,142,1,53080.0,1592917.0
2764,E01002829,Kensington and Chelsea 004A,15,12.55,10.77,1054,5.8,240,5,35630.0,709767.0
2765,E01002830,Kensington and Chelsea 004B,18,13.23,13.83,1231,7.4,227,5,50170.0,698333.0
2766,E01002831,Kensington and Chelsea 004C,30,14.43,10.65,1415,11.0,174,4,43130.0,562492.0
2767,E01002832,Kensington and Chelsea 004D,22,11.64,9.01,1223,7.6,219,6,44600.0,745876.0
2768,E01002833,Kensington and Chelsea 007A,16,10.97,8.57,1050,7.2,187,2,46700.0,780417.0
2769,E01002834,Kensington and Chelsea 013B,27,15.97,9.62,1038,6.2,226,2,46540.0,1115000.0
2770,E01002835,Kensington and Chelsea 016C,37,20.42,11.71,1094,15.1,100,2,38850.0,985000.0
2771,E01002836,Kensington and Chelsea 016D,28,19.84,9.48,1046,7.2,185,1,42560.0,876667.0
2772,E01002837,Kensington and Chelsea 016E,11,21.82,12.33,962,6.4,207,1,33180.0,1497500.0
2773,E01002838,Kensington and Chelsea 020A,13,23.42,7.66,1399,7.0,244,2,40580.0,961833.0
2774,E01002839,Kensington and Chelsea 013C,25,15.12,8.61,1184,6.3,234,2,35830.0,765333.0
2775,E01002840,Kensington and Chelsea 021A,18,20.8,21.73,857,8.9,156,7,46800.0,591250.0
2776,E01002841,Kensington and Chelsea 021B,19,19.69,9.79,1004,11.1,117,4,34630.0,613333.0
2777,E01002842,Kensington and Chelsea 021C,3,20.11,15.31,771,1.8,678,11,40420.0,308317.0
2778,E01002843,Kensington and Chelsea 021D,11,21.18,14.2,832,6.7,182,7,41110.0,443333.0
2779,E01002844,Kensington and Chelsea 019A,20,20.74,19.27,962,12.4,113,2,32740.0,1366833.0
2780,E01002845,Kensington and Chelsea 019B,13,22.48,17.85,946,7.0,192,2,43580.0,769417.0
2781,E01002846,Kensington and Chelsea 017A,11,17.13,8.18,1028,10.6,120,3,34380.0,529167.0
2782,E01002847,Kensington and Chelsea 015B,11,13.52,7.5,1215,7.2,207,2,39790.0,654167.0
2783,E01002848,Kensington and Chelsea 015C,14,13.09,8.97,1199,8.2,185,3,34430.0,549158.0
2784,E01002849,Kensington and Chelsea 017B,8,16.27,10.23,1057,6.5,217,3,34240.0,659417.0
2785,E01002850,Kensington and Chelsea 013D,25,11.91,7.45,1089,7.5,184,3,31150.0,699575.0
2786,E01002851,Kensington and Chelsea 015D,11,10.59,15.88,1156,6.0,259,2,29490.0,560833.0
2787,E01002852,Kensington and Chelsea 001A,20,22.89,9.37,1390,51.3,39,11,34420.0,245196.0
2788,E01002853,Kensington and Chelsea 001B,12,17.38,13.22,724,6.3,167,10,38520.0,574500.0
2789,E01002854,Kensington and Chelsea 001C,9,13.59,14.5,731,12.9,87,10,45090.0,287500.0
2790,E01002855,Kensington and Chelsea 001D,32,15.37,10.28,1211,10.6,158,8,40410.0,533833.0
2791,E01002856,Kensington and Chelsea 004E,20,16.15,7.71,1386,7.8,221,4,40060.0,446667.0
2792,E01002857,Kensington and Chelsea 001E,4,15.5,11.88,896,6.0,226,13,38830.0,205417.0
2793,E01002858,Kensington and Chelsea 014C,10,15.29,16.21,907,5.9,211,6,31040.0,431000.0
2794,E01002859,Kensington and Chelsea 012C,25,15.42,10.78,1274,12.8,135,2,38630.0,1242500.0
2795,E01002860,Kensington and Chelsea 012D,23,15.91,14.73,1100,11.1,140,1,43570.0,1933333.0
2796,E01002861,Kensington and Chelsea 014D,17,13.74,17.67,996,8.6,163,2,39590.0,1451467.0
2797,E01002862,Kensington and Chelsea 014E,11,16.49,17.17,1105,4.4,346,3,40370.0,254992.0
2798,E01002863,Kensington and Chelsea 012E,14,16.37,15.3,1093,12.4,120,1,32030.0,1840715.0
2799,E01002864,Kensington and Chelsea 009A,17,10.43,19.12,876,29.7,51,3,40930.0,1660383.0
2800,E01002865,Kensington and Chelsea 011E,8,8.97,11.0,922,13.1,105,4,41090.0,1775000.0
2801,E01002866,Kensington and Chelsea 009B,11,13.69,7.64,1336,15.7,111,5,37400.0,510000.0
2802,E01002867,Kensington and Chelsea 009C,21,12.57,8.27,1452,10.6,184,5,32870.0,598658.0
2803,E01002868,Kensington and Chelsea 009D,13,6.82,18.2,1010,24.6,64,1,34310.0,1816667.0
2804,E01002869,Kensington and Chelsea 009E,26,12.13,11.01,1074,10.1,147,5,34970.0,564833.0
2805,E01002870,Kensington and Chelsea 005A,6,14.75,15.55,925,12.6,111,9,45170.0,403333.0
2806,E01002871,Kensington and Chelsea 007B,23,5.22,13.28,1120,13.1,128,3,34870.0,1801250.0
2807,E01002872,Kensington and Chelsea 005B,13,9.62,25.53,812,9.7,151,5,35040.0,1519167.0
2808,E01002873,Kensington and Chelsea 007C,15,11.74,13.58,910,13.0,101,4,45250.0,878167.0
2809,E01002874,Kensington and Chelsea 007D,20,11.74,8.43,1032,8.3,170,4,49310.0,760517.0
2810,E01002875,Kensington and Chelsea 007E,23,6.31,18.91,893,16.0,86,2,37850.0,957816.0
2811,E01002876,Kensington and Chelsea 003A,28,25.38,14.99,1104,12.5,136,4,46670.0,1009167.0
2812,E01002877,Kensington and Chelsea 003B,9,21.45,10.48,1096,16.8,100,16,49430.0,637333.0
2813,E01002878,Kensington and Chelsea 003C,24,18.32,12.13,1168,12.2,130,4,39840.0,464983.0
2814,E01002879,Kensington and Chelsea 005C,9,14.79,12.8,1029,8.5,182,9,47810.0,366833.0
2815,E01002880,Kensington and Chelsea 005D,8,17.59,11.08,1035,6.5,244,13,44190.0,239833.0
2816,E01002881,Kensington and Chelsea 005E,5,13.5,11.0,942,5.9,244,9,45330.0,670000.0
2817,E01002882,Kensington and Chelsea 006A,16,6.33,15.62,879,11.8,111,3,37000.0,964166.0
2818,E01002883,Kensington and Chelsea 006B,9,4.11,17.71,1161,11.6,148,5,45520.0,836667.0
2819,E01002884,Kensington and Chelsea 006C,28,7.91,9.23,1056,7.7,172,1,36300.0,831874.0
2820,E01002885,Kensington and Chelsea 006D,18,10.51,7.6,1206,5.4,271,2,32190.0,746683.0
2821,E01002886,Kensington and Chelsea 006E,29,10.7,13.2,1021,12.3,117,1,49100.0,1020000.0
2822,E01002887,Kensington and Chelsea 010A,19,18.26,9.91,1079,7.7,180,1,49460.0,870833.0
2823,E01002888,Kensington and Chelsea 013E,13,14.86,8.49,1673,8.0,256,1,44830.0,825825.0
2824,E01002889,Kensington and Chelsea 010B,31,12.92,12.73,925,12.0,106,1,35210.0,1270833.0
2825,E01002890,Kensington and Chelsea 010C,23,14.13,15.6,1053,15.7,109,1,39640.0,2514500.0
2826,E01002891,Kensington and Chelsea 010D,7,18.84,9.33,1041,9.9,142,3,41180.0,1361667.0
2827,E01002892,Kensington and Chelsea 010E,34,19.96,6.2,1379,7.3,235,2,34280.0,1197500.0
2828,E01002893,Kensington and Chelsea 017C,25,21.76,11.92,1228,9.8,165,3,39280.0,555333.0
2829,E01002894,Kensington and Chelsea 017D,17,19.97,8.46,1014,10.2,128,1,37740.0,626667.0
2830,E01002895,Kensington and Chelsea 020B,18,25.48,13.07,879,10.9,122,2,37150.0,1449167.0
2831,E01002896,Kensington and Chelsea 020C,19,24.65,9.89,1279,11.4,152,1,36340.0,825000.0
2832,E01002897,Kensington and Chelsea 020D,15,21.57,10.46,984,14.3,92,3,36270.0,471250.0
2833,E01002898,Kensington and Chelsea 017E,16,20.41,15.57,1004,12.8,122,2,41940.0,1181667.0
2834,E01002899,Kensington and Chelsea 018A,11,18.24,18.67,982,7.5,188,2,36020.0,564250.0
2835,E01002900,Kensington and Chelsea 018B,11,18.81,16.02,987,12.8,114,3,46610.0,1333333.0
2836,E01002901,Kensington and Chelsea 018C,9,17.34,44.18,613,32.3,41,2,39470.0,873333.0
2837,E01002902,Kensington and Chelsea 018D,14,15.64,14.79,1310,13.8,127,2,38810.0,963333.0
2838,E01002903,Kensington and Chelsea 018E,15,16.2,15.31,995,11.1,135,1,44210.0,2945767.0
2839,E01002904,Kensington and Chelsea 002A,5,27.05,8.97,839,9.9,119,10,48250.0,180000.0
2840,E01002905,Kensington and Chelsea 002B,15,20.69,10.29,1058,16.9,91,10,47770.0,395167.0
2841,E01002906,Kensington and Chelsea 002C,20,23.81,17.85,1111,19.4,88,8,50780.0,495713.0
2842,E01002907,Kensington and Chelsea 002D,6,29.13,11.38,818,5.2,258,17,61030.0,1487500.0
2843,E01002908,Kensington and Chelsea 003D,14,28.13,10.74,948,9.6,141,5,41930.0,635000.0
2844,E01002909,Kensington and Chelsea 003E,26,19.43,10.73,1575,9.9,211,3,47760.0,511667.0
2845,E01002910,Kensington and Chelsea 019C,12,22.04,20.53,922,14.2,99,2,62040.0,889375.0
2846,E01002911,Kensington and Chelsea 019D,21,23.61,8.9,1217,12.1,139,2,59010.0,1720833.0
2847,E01002912,Kensington and Chelsea 020E,16,24.38,17.1,1165,11.2,146,2,61340.0,734167.0
2848,E01002913,Kensington and Chelsea 021E,19,21.96,9.32,1437,10.9,175,4,62080.0,712500.0
2849,E01002914,Kensington and Chelsea 019E,29,16.58,19.25,1026,17.8,87,1,57600.0,805198.0
2850,E01002915,Kingston upon Thames 014A,9,43.15,18.57,844,29.3,44,1,53540.0,339333.0
2851,E01002916,Kingston upon Thames 014B,9,32.96,17.94,945,44.0,34,2,66740.0,399333.0
2852,E01002917,Kingston upon Thames 014C,9,34.44,18.55,881,27.6,51,1,47840.0,419333.0
2853,E01002918,Kingston upon Thames 017A,9,37.48,9.32,1158,43.7,41,5,57880.0,242000.0
2854,E01002919,Kingston upon Thames 017B,24,36.15,12.47,1215,76.8,24,5,62710.0,216500.0
2855,E01002920,Kingston upon Thames 014D,5,32.55,17.6,982,46.5,35,1,55070.0,417833.0
2856,E01002921,Kingston upon Thames 011A,9,20.34,9.29,1288,17.2,94,2,61960.0,249325.0
2857,E01002922,Kingston upon Thames 010A,5,24.3,18.47,1027,31.7,51,1,63220.0,266667.0
2858,E01002923,Kingston upon Thames 013A,9,23.57,18.9,1067,11.7,137,5,41160.0,238167.0
2859,E01002924,Kingston upon Thames 014E,8,29.49,19.55,903,32.6,47,1,38000.0,527500.0
2860,E01002925,Kingston upon Thames 013B,9,28.54,10.78,1240,23.1,73,2,39450.0,316000.0
2861,E01002926,Kingston upon Thames 010B,13,27.92,14.18,985,28.9,54,2,40620.0,412317.0
2862,E01002927,Kingston upon Thames 008A,14,27.45,16.62,1015,22.1,71,3,50340.0,281667.0
2863,E01002928,Kingston upon Thames 008B,18,29.48,16.62,1112,25.5,65,3,56140.0,278750.0
2864,E01002929,Kingston upon Thames 007A,24,28.58,15.46,1040,60.0,27,2,60070.0,544000.0
2865,E01002930,Kingston upon Thames 007B,37,21.78,12.49,1189,26.7,65,4,58830.0,352167.0
2866,E01002931,Kingston upon Thames 007C,19,28.24,10.94,1221,30.7,61,3,64460.0,398333.0
2867,E01002932,Kingston upon Thames 006A,12,26.33,7.22,1252,23.1,79,10,57490.0,238833.0
2868,E01002933,Kingston upon Thames 004A,15,19.39,12.48,1280,16.4,122,4,49090.0,504167.0
2869,E01002934,Kingston upon Thames 004B,13,23.48,6.99,1256,20.7,91,2,36220.0,628333.0
2870,E01002935,Kingston upon Thames 003A,10,24.16,7.2,1512,18.6,105,3,40790.0,282750.0
2871,E01002937,Kingston upon Thames 004D,22,18.59,8.24,1169,15.0,119,2,30570.0,460333.0
2872,E01002938,Kingston upon Thames 003B,18,26.29,10.67,1261,23.7,86,2,35220.0,446500.0
2873,E01002939,Kingston upon Thames 018A,12,40.75,10.85,1114,26.2,62,3,56860.0,229408.0
2874,E01002940,Kingston upon Thames 020A,10,36.5,14.32,1047,22.3,74,5,46310.0,238333.0
2875,E01002941,Kingston upon Thames 018B,10,30.37,22.24,972,62.0,25,2,42100.0,253917.0
2876,E01002942,Kingston upon Thames 018C,3,37.99,17.07,888,21.2,65,2,43850.0,266167.0
2877,E01002943,Kingston upon Thames 020B,7,42.25,12.43,919,31.1,45,5,40160.0,249983.0
2878,E01002944,Kingston upon Thames 019A,34,47.03,12.41,878,30.2,45,5,47450.0,242492.0
2879,E01002945,Kingston upon Thames 019B,17,39.0,12.77,1074,24.8,64,2,45390.0,217417.0
2880,E01002946,Kingston upon Thames 019C,22,43.0,15.16,1020,46.7,32,3,36860.0,237583.0
2881,E01002947,Kingston upon Thames 019D,7,42.75,14.71,1073,29.5,55,2,28930.0,261667.0
2882,E01002948,Kingston upon Thames 020C,10,49.5,13.66,1367,526.1,4,4,30250.0,268750.0
2883,E01002949,Kingston upon Thames 020D,9,45.75,13.27,1231,29.8,63,4,28690.0,272333.0
2884,E01002950,Kingston upon Thames 020E,13,41.5,14.57,1056,98.2,17,8,31140.0,219492.0
2885,E01002951,Kingston upon Thames 003C,15,32.01,14.08,1055,22.3,72,4,35730.0,466667.0
2886,E01002952,Kingston upon Thames 002A,14,35.39,17.38,982,142.3,11,2,25620.0,1485000.0
2887,E01002953,Kingston upon Thames 002B,12,27.19,15.04,880,117.0,11,2,36850.0,921666.0
2888,E01002954,Kingston upon Thames 003D,10,28.71,17.17,863,23.0,57,4,61990.0,231583.0
2889,E01002955,Kingston upon Thames 002C,13,38.25,13.46,976,49.4,28,2,69780.0,448167.0
2890,E01002956,Kingston upon Thames 002D,9,39.0,17.23,1111,64.0,26,3,55450.0,693500.0
2891,E01002957,Kingston upon Thames 003E,14,36.35,7.74,1237,22.9,78,8,36300.0,206500.0
2892,E01002958,Kingston upon Thames 008C,14,29.23,10.08,1180,18.5,94,2,67170.0,338875.0
2893,E01002959,Kingston upon Thames 002E,15,26.5,19.07,845,42.9,33,2,60230.0,790667.0
2894,E01002960,Kingston upon Thames 006B,14,27.29,13.91,1064,26.4,62,2,64480.0,471667.0
2895,E01002961,Kingston upon Thames 008D,13,23.73,14.14,1156,33.8,53,2,46340.0,465000.0
2896,E01002962,Kingston upon Thames 006C,9,26.15,12.42,1007,24.4,63,4,45280.0,301075.0
2897,E01002963,Kingston upon Thames 007D,17,24.55,13.4,1178,18.7,95,3,65300.0,210500.0
2898,E01002964,Kingston upon Thames 005A,18,8.74,11.2,1697,31.4,73,4,47820.0,256000.0
2899,E01002965,Kingston upon Thames 009A,24,8.55,11.02,1938,34.9,71,3,31180.0,326333.0
2900,E01002966,Kingston upon Thames 010C,11,20.04,8.29,1398,50.4,38,2,67380.0,359158.0
2901,E01002967,Kingston upon Thames 009B,10,15.68,11.33,1478,19.7,99,1,45340.0,302117.0
2902,E01002968,Kingston upon Thames 009C,46,4.5,6.87,2201,55.6,48,2,52820.0,346317.0
2903,E01002969,Kingston upon Thames 005B,4,19.86,9.79,1293,6.9,272,9,49300.0,163667.0
2904,E01002970,Kingston upon Thames 006D,12,24.98,9.31,1156,28.6,56,6,55600.0,238333.0
2905,E01002971,Kingston upon Thames 005C,16,15.87,7.78,1338,31.8,57,3,45520.0,322150.0
2906,E01002972,Kingston upon Thames 005D,15,16.52,8.9,1496,16.7,115,3,36220.0,258058.0
2907,E01002973,Kingston upon Thames 006E,13,25.69,7.35,999,29.8,47,7,39170.0,260667.0
2908,E01002974,Kingston upon Thames 005E,19,22.3,10.25,1366,20.9,93,4,31220.0,439158.0
2909,E01002975,Kingston upon Thames 012A,11,41.4,17.39,883,29.6,48,3,28060.0,375917.0
2910,E01002976,Kingston upon Thames 015A,6,29.81,15.39,1029,27.8,59,4,33840.0,296250.0
2911,E01002977,Kingston upon Thames 012B,18,31.74,15.22,1048,29.9,56,8,52430.0,301167.0
2912,E01002978,Kingston upon Thames 015B,18,21.89,18.56,1211,36.4,51,2,53410.0,416667.0
2913,E01002979,Kingston upon Thames 015C,3,31.57,13.91,1077,33.8,47,2,50200.0,310083.0
2914,E01002980,Kingston upon Thames 012C,12,31.6,18.59,913,23.1,62,3,49230.0,381083.0
2915,E01002981,Kingston upon Thames 012D,18,32.46,16.02,1000,37.7,42,3,55600.0,350000.0
2916,E01002982,Kingston upon Thames 015D,12,32.52,24.11,847,25.8,55,1,56670.0,370667.0
2917,E01002983,Kingston upon Thames 015E,14,32.92,17.97,1059,64.9,26,1,52050.0,393750.0
2918,E01002984,Kingston upon Thames 012E,11,26.8,20.67,849,27.1,53,3,60990.0,345333.0
2919,E01002985,Kingston upon Thames 007E,20,29.17,11.85,1109,17.2,100,4,76220.0,301083.0
2920,E01002986,Kingston upon Thames 008E,17,30.23,16.65,829,43.9,29,3,60940.0,324833.0
2921,E01002987,Kingston upon Thames 011B,22,19.03,13.63,1304,21.3,79,2,59780.0,272000.0
2922,E01002988,Kingston upon Thames 011C,9,23.5,5.94,1521,28.5,68,4,46270.0,333229.0
2923,E01002989,Kingston upon Thames 011D,11,20.01,6.4,1464,15.1,123,1,49880.0,328500.0
2924,E01002990,Kingston upon Thames 009D,11,16.54,10.19,1404,16.9,104,2,61680.0,272083.0
2925,E01002991,Kingston upon Thames 009E,11,16.99,10.85,1187,22.8,71,1,54550.0,314167.0
2926,E01002992,Kingston upon Thames 010D,3,21.82,5.6,1523,33.0,55,2,47710.0,300833.0
2927,E01002993,Kingston upon Thames 013C,8,25.69,11.86,1234,16.6,96,2,55920.0,247975.0
2928,E01002994,Kingston upon Thames 016A,8,24.39,21.0,951,31.9,47,1,47090.0,255492.0
2929,E01002995,Kingston upon Thames 013D,6,28.64,20.26,973,40.9,37,1,61850.0,392483.0
2930,E01002996,Kingston upon Thames 016B,18,30.13,11.12,1037,20.3,76,1,53100.0,389250.0
2931,E01002997,Kingston upon Thames 016C,15,25.59,11.6,1019,23.4,63,1,53680.0,331750.0
2932,E01002998,Kingston upon Thames 016D,12,31.53,10.34,1024,14.4,109,7,77150.0,284083.0
2933,E01002999,Kingston upon Thames 013E,12,22.22,8.16,1152,18.9,77,3,27590.0,242158.0
2934,E01003000,Kingston upon Thames 017C,26,43.44,13.58,1060,114.7,14,3,31250.0,282492.0
2935,E01003001,Kingston upon Thames 017D,33,34.94,12.33,1229,36.8,50,3,33790.0,273833.0
2936,E01003002,Kingston upon Thames 016E,22,38.84,14.36,1203,30.3,61,4,37250.0,239658.0
2937,E01003003,Kingston upon Thames 017E,23,27.44,11.05,1089,23.3,66,4,40850.0,295000.0
2938,E01003004,Kingston upon Thames 018D,8,38.38,13.8,1022,31.3,51,3,40570.0,274167.0
2939,E01003005,Kingston upon Thames 018E,21,38.62,14.07,984,23.1,67,3,51100.0,248333.0
2940,E01003006,Kingston upon Thames 001A,7,32.34,16.19,940,32.1,47,2,63450.0,402667.0
2941,E01003007,Kingston upon Thames 001B,24,35.76,13.85,932,20.3,75,2,51590.0,441917.0
2942,E01003008,Kingston upon Thames 001C,18,30.67,13.87,844,20.1,71,1,47380.0,450983.0
2943,E01003009,Kingston upon Thames 001D,2,32.44,13.52,1212,30.3,64,3,54090.0,282483.0
2944,E01003010,Kingston upon Thames 001E,13,26.41,12.86,997,30.2,51,2,41220.0,719167.0
2945,E01003011,Kingston upon Thames 004E,15,19.36,15.15,1141,25.2,69,2,42600.0,391500.0
2946,E01003013,Lambeth 036A,47,9.97,5.54,1487,34.4,50,1,43740.0,407292.0
2947,E01003014,Lambeth 036B,20,7.88,11.5,1203,18.7,84,3,36310.0,365583.0
2948,E01003015,Lambeth 002A,35,10.08,9.96,1209,9.6,174,8,35240.0,260658.0
2949,E01003016,Lambeth 036C,22,13.56,4.99,1237,16.3,86,3,44000.0,553750.0
2950,E01003017,Lambeth 036D,25,14.17,11.9,1285,13.0,130,4,39490.0,535055.0
2951,E01003018,Lambeth 020A,27,16.6,5.06,1787,15.0,142,3,42730.0,301667.0
2952,E01003019,Lambeth 015A,27,18.11,6.33,1784,15.0,142,2,32990.0,348333.0
2953,E01003020,Lambeth 016A,21,11.45,6.45,1396,14.4,125,5,48040.0,313825.0
2954,E01003021,Lambeth 021A,15,20.84,10.37,1705,16.1,138,9,41640.0,277000.0
2955,E01003022,Lambeth 021B,28,22.75,6.31,1367,11.6,150,4,43550.0,292000.0
2956,E01003023,Lambeth 021C,32,26.87,5.44,1912,12.8,189,5,38850.0,258833.0
2957,E01003024,Lambeth 021D,10,24.47,6.19,1255,12.4,142,10,39220.0,175667.0
2958,E01003025,Lambeth 021E,15,28.5,7.56,1441,15.7,128,8,44870.0,259075.0
2959,E01003026,Lambeth 019A,22,21.41,5.95,1253,34.8,43,3,38740.0,491650.0
2960,E01003027,Lambeth 019B,13,21.95,7.14,1011,12.4,114,2,42340.0,744167.0
2961,E01003028,Lambeth 019C,10,24.72,7.92,1129,13.7,112,6,33980.0,550833.0
2962,E01003029,Lambeth 017A,33,20.04,7.26,1479,14.9,122,3,42310.0,361500.0
2963,E01003030,Lambeth 019D,22,22.62,4.54,1594,16.7,115,2,48460.0,416833.0
2964,E01003031,Lambeth 023A,11,24.47,4.17,1428,9.1,193,6,41440.0,362833.0
2965,E01003032,Lambeth 017B,20,22.84,10.09,1322,18.0,96,7,46890.0,306755.0
